run_name	gpu	cfg_path	target_unknown	surrogate_open	known_pas
l2o_ref_ent005_lr2e4_tgtPA1_surPA2_c16384_seed0	0	manifests/configs/l2o_surrogate_matrix_gpu0/l2o_ref_ent005_lr2e4_tgtPA1_surPA2_c16384_seed0.json	PA1	PA2	PA3,PA4,PA8
l2o_ref_ent005_lr2e4_tgtPA1_surPA3_c16384_seed0	0	manifests/configs/l2o_surrogate_matrix_gpu0/l2o_ref_ent005_lr2e4_tgtPA1_surPA3_c16384_seed0.json	PA1	PA3	PA2,PA4,PA8
l2o_ref_ent005_lr2e4_tgtPA1_surPA4_c16384_seed0	0	manifests/configs/l2o_surrogate_matrix_gpu0/l2o_ref_ent005_lr2e4_tgtPA1_surPA4_c16384_seed0.json	PA1	PA4	PA2,PA3,PA8
l2o_ref_ent005_lr2e4_tgtPA1_surPA8_c16384_seed0	0	manifests/configs/l2o_surrogate_matrix_gpu0/l2o_ref_ent005_lr2e4_tgtPA1_surPA8_c16384_seed0.json	PA1	PA8	PA2,PA3,PA4
l2o_ref_ent005_lr2e4_tgtPA2_surPA1_c16384_seed0	0	manifests/configs/l2o_surrogate_matrix_gpu0/l2o_ref_ent005_lr2e4_tgtPA2_surPA1_c16384_seed0.json	PA2	PA1	PA3,PA4,PA8
l2o_ref_ent005_lr2e4_tgtPA2_surPA3_c16384_seed0	0	manifests/configs/l2o_surrogate_matrix_gpu0/l2o_ref_ent005_lr2e4_tgtPA2_surPA3_c16384_seed0.json	PA2	PA3	PA1,PA4,PA8
l2o_ref_ent005_lr2e4_tgtPA2_surPA4_c16384_seed0	0	manifests/configs/l2o_surrogate_matrix_gpu0/l2o_ref_ent005_lr2e4_tgtPA2_surPA4_c16384_seed0.json	PA2	PA4	PA1,PA3,PA8
l2o_ref_ent005_lr2e4_tgtPA2_surPA8_c16384_seed0	0	manifests/configs/l2o_surrogate_matrix_gpu0/l2o_ref_ent005_lr2e4_tgtPA2_surPA8_c16384_seed0.json	PA2	PA8	PA1,PA3,PA4
l2o_ref_ent005_lr2e4_tgtPA3_surPA1_c16384_seed0	0	manifests/configs/l2o_surrogate_matrix_gpu0/l2o_ref_ent005_lr2e4_tgtPA3_surPA1_c16384_seed0.json	PA3	PA1	PA2,PA4,PA8
l2o_ref_ent005_lr2e4_tgtPA3_surPA2_c16384_seed0	0	manifests/configs/l2o_surrogate_matrix_gpu0/l2o_ref_ent005_lr2e4_tgtPA3_surPA2_c16384_seed0.json	PA3	PA2	PA1,PA4,PA8
